Model,Tracker,Sequence,HOTA,MOTA,IDF1,IDSW,AssA,DetA,Avg_Inference_Time,FPS,Status,Error
yolov11m.pt,TrackTrack,MOT17-02-FRCNN,27.148,0.1889564609009203,0.25516283653630784,45.0,43.262,17.059,50.8371,11.8024,ok,
yolov11m.pt,TrackTrack,MOT17-04-FRCNN,31.646,0.1773240532413735,0.306440654344001,13.0,59.123,16.962,101.4624,10.3487,ok,
yolov26m.pt,ByteTrack,MOT17-02-FRCNN,26.262,0.19423066573381412,0.2560556720346166,35.0,40.019,17.262,45.9112,13.0687,ok,
yolov26m.pt,ByteTrack,MOT17-04-FRCNN,31.107,0.1685766553819627,0.2823266843353327,4.0,58.141,16.666,87.9624,11.9369,ok,
yolov26m.pt,BoT-SORT,MOT17-02-FRCNN,25.859,0.1951993972337334,0.2452090204118014,20.0,38.365,17.456,52.5361,11.4207,ok,
yolov26m.pt,BoT-SORT,MOT17-04-FRCNN,31.612,0.1704691212650083,0.2883093337052404,6.0,59.493,16.814,99.5059,10.5521,ok,
yolov26m.pt,Deep_OC-SORT,MOT17-02-FRCNN,27.681,0.21979441364835048,0.28380794557585803,46.0,40.071,19.165,55.5691,10.7974,ok,
yolov26m.pt,Deep_OC-SORT,MOT17-04-FRCNN,31.056,0.1856719305254747,0.2961551664950223,9.0,53.045,18.229,105.4238,9.9598,ok,
yolov26m.pt,Hybrid-SORT,MOT17-02-FRCNN,27.298,0.2277057208976912,0.279848171152519,90.0,37.018,20.301,53.0849,11.3026,ok,
yolov26m.pt,Hybrid-SORT,MOT17-04-FRCNN,31.622,0.19961309586391068,0.30207872622733306,30.0,51.959,19.272,99.1123,10.5940,ok,
yolov26m.pt,BoostTrack++,MOT17-02-FRCNN,25.338,0.20424089123297992,0.23969871510855117,60.0,35.383,18.208,47.0502,12.7523,ok,
yolov26m.pt,BoostTrack++,MOT17-04-FRCNN,29.062,0.17234055974935342,0.26982521020130484,25.0,50.155,16.88,90.5310,11.5982,ok,
