Model,Tracker,Sequence,HOTA,MOTA,IDF1,IDSW,AssA,DetA,Avg_Inference_Time,FPS,Status,Error
yolov8m.pt,ByteTrack,MOT17-02-FRCNN,26.123,0.17501749098541522,0.23660491870102812,24.0,43.269,15.787,42.0733,14.2608,ok,
yolov8m.pt,ByteTrack,MOT17-04-FRCNN,36.442,0.26082385348108583,0.39386467706298633,53.0,52.984,25.16,115.7140,9.0741,ok,
yolov8m.pt,BoT-SORT,MOT17-02-FRCNN,25.216,0.16387707873634358,0.22372607896741808,27.0,39.849,15.983,50.0191,11.9954,ok,
yolov8m.pt,BoT-SORT,MOT17-04-FRCNN,36.034,0.2649662510250857,0.38599186913793654,46.0,51.492,25.299,129.2450,8.1241,ok,
yolov8m.pt,Deep_OC-SORT,MOT17-02-FRCNN,26.657,0.20354125181637156,0.2616953921913472,25.0,38.844,18.335,53.8037,11.1516,ok,
yolov8m.pt,Deep_OC-SORT,MOT17-04-FRCNN,38.414,0.2917551569695313,0.42505446623093684,48.0,53.055,27.918,142.7478,7.3556,ok,
yolov8m.pt,Hybrid-SORT,MOT17-02-FRCNN,29.853,0.22479952639793338,0.30030880082346884,78.0,43.624,20.577,51.4472,11.6624,ok,
yolov8m.pt,Hybrid-SORT,MOT17-04-FRCNN,39.461,0.3341043379523519,0.4475685502196637,110.0,50.223,31.112,140.8425,7.4551,ok,
yolov8m.pt,BoostTrack++,MOT17-02-FRCNN,27.195,0.19358484473386792,0.2582781456953642,30.0,43.073,17.19,45.0710,13.3123,ok,
yolov8m.pt,BoostTrack++,MOT17-04-FRCNN,35.773,0.2772462518661816,0.39170174961181986,61.0,49.697,25.819,120.3610,8.7238,ok,
yolov8m.pt,TrackTrack,MOT17-02-FRCNN,26.007,0.17555567515203702,0.23825609151916408,28.0,41.302,16.405,49.8815,12.0285,ok,
yolov8m.pt,TrackTrack,MOT17-04-FRCNN,36.676,0.2742603612507097,0.39039811902265437,52.0,52.038,25.936,131.2315,8.0011,ok,
yolov10m.pt,ByteTrack,MOT17-02-FRCNN,25.709,0.16619127065281739,0.22416796552672597,21.0,44.914,14.721,41.6334,14.4115,ok,
