Model,Tracker,Sequence,HOTA,MOTA,IDF1,IDSW,AssA,DetA,Avg_Inference_Time,FPS,Status,Error
yolov10m.pt,ByteTrack,MOT17-04-FRCNN,27.721,0.14542548941270475,0.25482542524619517,15.0,54.81,14.026,78.7631,13.3311,ok,
yolov10m.pt,BoT-SORT,MOT17-02-FRCNN,27.234,0.16398471556966793,0.2345187422765344,17.0,49.431,15.013,52.2077,11.4926,ok,
yolov10m.pt,BoT-SORT,MOT17-04-FRCNN,27.82,0.14614042096852198,0.2540475892968708,12.0,54.348,14.248,100.2964,10.4690,ok,
yolov10m.pt,Deep_OC-SORT,MOT17-02-FRCNN,24.552,0.19116301598406976,0.24352562957671012,27.0,35.269,17.111,56.1765,10.6806,ok,
yolov10m.pt,Deep_OC-SORT,MOT17-04-FRCNN,31.092,0.17118405282082552,0.2931230041705202,21.0,58.583,16.538,107.2359,9.7915,ok,
yolov10m.pt,Hybrid-SORT,MOT17-02-FRCNN,26.741,0.19875141273343738,0.2561283744846846,51.0,39.821,18.021,47.5006,12.6314,ok,
yolov10m.pt,Hybrid-SORT,MOT17-04-FRCNN,30.762,0.18453645099564733,0.2927217104239764,12.0,53.677,17.685,94.3950,11.1235,ok,
yolov10m.pt,BoostTrack++,MOT17-02-FRCNN,27.809,0.1838975297346752,0.2664558391687373,37.0,46.674,16.587,44.9904,13.3362,ok,
yolov10m.pt,BoostTrack++,MOT17-04-FRCNN,27.6,0.13859158483504005,0.25457297842815696,21.0,56.061,13.615,78.7327,13.3363,ok,
yolov10m.pt,TrackTrack,MOT17-02-FRCNN,25.876,0.16748291265270976,0.22351061401506506,26.0,43.844,15.295,52.4643,11.4364,ok,
yolov10m.pt,TrackTrack,MOT17-04-FRCNN,27.364,0.14826418823727316,0.2456015385711233,34.0,51.45,14.562,101.4664,10.3483,ok,
yolov11m.pt,ByteTrack,MOT17-02-FRCNN,26.917,0.18556590065120285,0.25590674736606145,28.0,43.736,16.575,44.6204,13.4468,ok,
yolov11m.pt,ByteTrack,MOT17-04-FRCNN,31.012,0.17644090249595223,0.2864329453397401,9.0,56.27,17.141,89.4374,11.7401,ok,
yolov11m.pt,BoT-SORT,MOT17-02-FRCNN,26.617,0.18422044023464829,0.2443986377487005,24.0,42.216,16.8,50.3041,11.9275,ok,
yolov11m.pt,BoT-SORT,MOT17-04-FRCNN,31.348,0.17959501230102823,0.29970002254165873,27.0,56.894,17.302,101.9784,10.2963,ok,
yolov11m.pt,Deep_OC-SORT,MOT17-02-FRCNN,28.264,0.2208169635649319,0.29764333145262795,39.0,40.875,19.562,55.8536,10.7424,ok,
yolov11m.pt,Deep_OC-SORT,MOT17-04-FRCNN,33.356,0.20257795908068213,0.33424147559015144,10.0,56.911,19.614,110.8197,9.4749,ok,
yolov11m.pt,Hybrid-SORT,MOT17-02-FRCNN,27.161,0.23184973898067918,0.2856162621151042,105.0,35.677,20.77,52.2491,11.4835,ok,
yolov11m.pt,Hybrid-SORT,MOT17-04-FRCNN,34.137,0.21891624787097588,0.3473318915656591,37.0,56.866,20.529,102.4005,10.2539,ok,
yolov11m.pt,BoostTrack++,MOT17-02-FRCNN,26.21,0.19740595231688285,0.25522601393603717,43.0,39.047,17.622,46.3205,12.9532,ok,
yolov11m.pt,BoostTrack++,MOT17-04-FRCNN,28.562,0.17688247786866287,0.27149763512923886,26.0,48.591,16.83,89.4199,11.7424,ok,
yolov11m.pt,TrackTrack,MOT17-02-FRCNN,27.035,0.1851353533179054,0.2493059908659443,47.0,43.392,16.86,51.3554,11.6833,ok,
yolov11m.pt,TrackTrack,MOT17-04-FRCNN,32.129,0.1841159030216372,0.3051251902061143,17.0,58.664,17.623,105.0288,9.9973,ok,
yolov26m.pt,ByteTrack,MOT17-02-FRCNN,24.325,0.19885904956676176,0.24743822916204586,41.0,33.504,17.708,46.5317,12.8944,ok,
yolov26m.pt,ByteTrack,MOT17-04-FRCNN,33.009,0.1779338478036882,0.31174438687392053,3.0,62.368,17.493,91.4612,11.4803,ok,
yolov26m.pt,BoT-SORT,MOT17-02-FRCNN,25.354,0.1975135891502072,0.24554718653079308,23.0,35.824,17.98,53.6305,11.1877,ok,
yolov26m.pt,BoT-SORT,MOT17-04-FRCNN,33.212,0.1800786424711399,0.31261009221842295,5.0,62.604,17.637,101.9095,10.3033,ok,
yolov26m.pt,Deep_OC-SORT,MOT17-02-FRCNN,26.939,0.22684462623109627,0.290400761706916,40.0,36.797,19.788,56.8826,10.5480,ok,
yolov26m.pt,Deep_OC-SORT,MOT17-04-FRCNN,34.179,0.19740521900035746,0.33986905933037076,7.0,60.721,19.268,109.4727,9.5914,ok,
yolov26m.pt,Hybrid-SORT,MOT17-02-FRCNN,26.817,0.2380388568968301,0.28403019251971845,100.0,33.791,21.495,54.4981,11.0096,ok,
yolov26m.pt,Hybrid-SORT,MOT17-04-FRCNN,32.832,0.2177387135437475,0.32316909894229484,44.0,52.276,20.666,103.9940,10.0967,ok,
yolov26m.pt,BoostTrack++,MOT17-02-FRCNN,25.028,0.2048867122329261,0.2343355621485188,57.0,34.857,18.025,47.1053,12.7374,ok,
yolov26m.pt,BoostTrack++,MOT17-04-FRCNN,29.795,0.1716887103896377,0.27607993716729207,23.0,52.794,16.84,90.4235,11.6120,ok,
yolov26m.pt,TrackTrack,MOT17-02-FRCNN,24.19,0.2031645228997363,0.24030700013232764,45.0,32.145,18.276,54.5396,11.0012,ok,
yolov26m.pt,TrackTrack,MOT17-04-FRCNN,33.14,0.18241268372689615,0.3132156159470272,20.0,61.851,17.778,106.4456,9.8642,ok,
rt-detr-l.pt,ByteTrack,MOT17-02-FRCNN,24.46,0.21624239814864646,0.2572646598225161,49.0,31.717,18.963,55.3400,10.8421,ok,
rt-detr-l.pt,ByteTrack,MOT17-04-FRCNN,32.255,0.20201021931576846,0.3220935571086058,19.0,54.363,19.205,104.3424,10.0630,ok,
rt-detr-l.pt,BoT-SORT,MOT17-02-FRCNN,25.952,0.21726494806522792,0.2774546401597361,50.0,34.869,19.426,61.9151,9.6907,ok,
rt-detr-l.pt,BoT-SORT,MOT17-04-FRCNN,31.88,0.19273713648884497,0.33130986569448506,10.0,56.053,18.181,111.9456,9.3796,ok,
rt-detr-l.pt,Deep_OC-SORT,MOT17-02-FRCNN,26.552,0.24051450406329045,0.2978238866396761,84.0,33.447,21.255,67.6176,8.8734,ok,
rt-detr-l.pt,Deep_OC-SORT,MOT17-04-FRCNN,34.766,0.24749248270496457,0.3530025088788244,31.0,52.083,23.303,132.9758,7.8962,ok,
rt-detr-l.pt,Hybrid-SORT,MOT17-02-FRCNN,26.254,0.25030945589580755,0.29890396447052114,161.0,29.773,23.52,67.2248,8.9253,ok,
rt-detr-l.pt,Hybrid-SORT,MOT17-04-FRCNN,36.448,0.2751645393948315,0.39055042952593066,43.0,52.796,25.257,132.2156,7.9416,ok,
rt-detr-l.pt,BoostTrack++,MOT17-02-FRCNN,24.847,0.22609116839782573,0.2667826843593648,57.0,31.7,19.603,57.7286,10.3935,ok,
rt-detr-l.pt,BoostTrack++,MOT17-04-FRCNN,29.875,0.2257922072460416,0.3163735729493219,30.0,42.704,20.967,111.1854,9.4437,ok,
rt-detr-l.pt,TrackTrack,MOT17-02-FRCNN,27.732,0.2232387923147301,0.28823605762990523,54.0,39.455,19.591,64.4467,9.3100,ok,
rt-detr-l.pt,TrackTrack,MOT17-04-FRCNN,32.909,0.20426015097672268,0.33553603886727706,30.0,56.386,19.259,118.4648,8.8634,ok,
