Model,Tracker,Sequence,HOTA,MOTA,IDF1,IDSW,AssA,DetA,Avg_Inference_Time,FPS,Status,Error
yolov11m.pt,TrackTrack,MOT17-02-FRCNN,27.053,0.1871804531510683,0.2535047252205849,36.0,43.293,16.933,52.1567,11.5038,ok,
yolov11m.pt,TrackTrack,MOT17-04-FRCNN,30.642,0.1828963138970078,0.28843622254555534,17.0,53.934,17.446,102.4850,10.2454,ok,
yolov26m.pt,ByteTrack,MOT17-02-FRCNN,25.426,0.19789031806684249,0.2583081570996979,40.0,36.816,17.591,50.4456,11.8940,ok,
yolov26m.pt,ByteTrack,MOT17-04-FRCNN,32.559,0.17477973799861218,0.3070763791400198,2.0,61.602,17.232,90.1630,11.6456,ok,
yolov26m.pt,BoT-SORT,MOT17-02-FRCNN,24.712,0.1978364996501803,0.24069225648990458,24.0,34.122,17.933,52.7371,11.3772,ok,
yolov26m.pt,BoT-SORT,MOT17-04-FRCNN,32.724,0.17648295729335323,0.30722839367103966,5.0,61.721,17.369,101.3037,10.3649,ok,
yolov26m.pt,Deep_OC-SORT,MOT17-02-FRCNN,26.707,0.22630644206447445,0.2887232382768484,42.0,36.307,19.709,56.7427,10.5741,ok,
yolov26m.pt,Deep_OC-SORT,MOT17-04-FRCNN,33.747,0.19393569821477386,0.33480911351019993,4.0,60.11,18.975,107.7575,9.7441,ok,
yolov26m.pt,Hybrid-SORT,MOT17-02-FRCNN,26.817,0.2380388568968301,0.28403019251971845,100.0,33.791,21.495,54.3850,11.0325,ok,
yolov26m.pt,Hybrid-SORT,MOT17-04-FRCNN,32.832,0.2177387135437475,0.32316909894229484,44.0,52.276,20.666,103.2179,10.1727,ok,
yolov26m.pt,BoostTrack++,MOT17-02-FRCNN,25.039,0.20440234648296648,0.23575795162576416,57.0,34.969,17.983,46.8458,12.8080,ok,
yolov26m.pt,BoostTrack++,MOT17-04-FRCNN,29.81,0.17177281998443972,0.2762857092996876,23.0,52.798,16.856,89.6918,11.7068,ok,
yolov26m.pt,TrackTrack,MOT17-02-FRCNN,25.254,0.2043485280663043,0.24823508648076245,50.0,34.867,18.364,54.0738,11.0959,ok,
yolov26m.pt,TrackTrack,MOT17-04-FRCNN,31.335,0.18119309460226676,0.28796046720575025,20.0,55.634,17.675,102.6495,10.2290,ok,
rt-detr-l.pt,ByteTrack,MOT17-02-FRCNN,24.279,0.21640385339863302,0.2514798050139276,48.0,31.127,19.041,61.6298,9.7356,ok,
rt-detr-l.pt,ByteTrack,MOT17-04-FRCNN,32.254,0.2021363837079715,0.32212642212132037,19.0,54.368,19.203,106.0096,9.9048,ok,
rt-detr-l.pt,BoT-SORT,MOT17-02-FRCNN,26.489,0.21904095581507993,0.2805705340059141,45.0,36.643,19.251,63.2894,9.4803,ok,
rt-detr-l.pt,BoT-SORT,MOT17-04-FRCNN,31.881,0.192863300881048,0.3313440536589561,10.0,56.063,18.179,112.3751,9.3437,ok,
rt-detr-l.pt,Deep_OC-SORT,MOT17-02-FRCNN,26.117,0.24029923039664172,0.2952175931788443,85.0,32.54,21.144,66.3590,9.0417,ok,
rt-detr-l.pt,Deep_OC-SORT,MOT17-04-FRCNN,34.767,0.2476186470971676,0.35303701772679874,31.0,52.088,23.302,131.6758,7.9741,ok,
rt-detr-l.pt,Hybrid-SORT,MOT17-02-FRCNN,26.254,0.25030945589580755,0.29890396447052114,161.0,29.773,23.52,66.2223,9.0604,ok,
rt-detr-l.pt,Hybrid-SORT,MOT17-04-FRCNN,36.448,0.2751645393948315,0.39055042952593066,43.0,52.796,25.257,129.4885,8.1088,ok,
rt-detr-l.pt,BoostTrack++,MOT17-02-FRCNN,24.764,0.2277057208976912,0.2608393128941074,55.0,31.366,19.684,56.1484,10.6860,ok,
rt-detr-l.pt,BoostTrack++,MOT17-04-FRCNN,29.882,0.2258763168408436,0.3166540943759953,30.0,42.707,20.975,112.3802,9.3433,ok,
rt-detr-l.pt,TrackTrack,MOT17-02-FRCNN,28.597,0.22361552123136538,0.29045643153526973,56.0,41.588,19.785,64.2994,9.3313,ok,
rt-detr-l.pt,TrackTrack,MOT17-04-FRCNN,32.91,0.2043442605715247,0.3355588400183477,30.0,56.39,19.259,118.2942,8.8762,ok,
